31109,dataset/14-Postdam-train18-noaug/,deeplabv3_os16_MG,100,0.7771366,0.7769902,0.7765460,0.7763253,0.7761049,35000,42000,40000,25000,41000,OA-0.8675370,lre-4
77994,dataset/14-Postdam-train18-noaug/,gcn,100,0.8602668,0.8596057,0.8594971,0.8594837,0.8593079,44000,41000,39000,40000,37000
77994,dataset/14-Postdam-train18-noaug/,gcn,100,0.7568692,0.7560199,0.7558084,0.7556833,0.7555233,44000,41000,39000,40000,37000,batchsize-6
47365,dataset/14-Postdam-train18-noaug/,gcn,100,0.8447687,0.8442135,0.8438831,0.8431092,0.8424169,15000,10000,13000,12000,14000
47365,dataset/14-Postdam-train18-noaug/,gcn,100,0.7333309,0.7325586,0.7320061,0.7308752,0.7298830,15000,10000,13000,12000,14000,batchsize-18
66943,dataset/14-Postdam-train18-noaug/,gcn,100,0.8443422,0.8442758,0.8441257,0.8440286,0.8440083,11500,12500,14500,12000,13000
66943,dataset/14-Postdam-train18-noaug/,gcn,100,0.7327195,0.7325529,0.7323138,0.7322716,0.7321321,11500,12500,14500,12000,13000,batchsize-18
29633,dataset/14-Postdam-train18-noaug/,gcn,100,0.8607583,0.8603697,0.8603092,0.8602596,0.8601729,42500,42000,36500,41000,39000
29633,dataset/14-Postdam-train18-noaug/,gcn,100,0.7576792,0.7571928,0.7570458,0.7568429,0.7568173,42500,42000,36500,41000,39000,batchsize-6
41199,dataset/14-Postdam-train18-noaug/,gcn,100,0.8650752,0.8649083,0.8647362,0.8645924,0.8643869,59000,64500,62500,63000,50000
41199,dataset/14-Postdam-train18-noaug/,gcn,100,0.7643475,0.7642177,0.7638024,0.7637340,0.7632930,59000,64500,62500,63000,50000,batchsize-4
26627,dataset/14-Postdam-train18-noaug/,gcn,100,0.8708673,0.8708627,0.8706053,0.8704862,0.8704014,126500,115500,114500,102000,129500
26627,dataset/14-Postdam-train18-noaug/,gcn,100,0.7735606,0.7734025,0.7730555,0.7729206,0.7726870,126500,115500,114500,102000,129500,batchsize-2
68179,dataset/08-Vahingen-train23-rotate-precode-07edit/,deeplabv3_os16_MG_plus,100,0.8563042,0.8537068,0.8525823,0.8522603,0.8521156,27000,18000,21000,28000,25000
68179,dataset/08-Vahingen-train23-rotate-precode-07edit/,deeplabv3_os16_MG_plus,100,0.7525684,0.7487108,0.7469993,0.7469339,0.7466699,27000,18000,21000,28000,25000,batchsize-10
42031,dataset/08-Vahingen-train23-rotate-precode-07edit/,deeplabv3_os16_MG_plus,100,0.8515156,0.8488762,0.8458383,0.8439965,0.8429645,20000,19000,23000,18000,14000
42031,dataset/08-Vahingen-train23-rotate-precode-07edit/,deeplabv3_os16_MG_plus,100,0.7463124,0.7424654,0.7384355,0.7360243,0.7330325,20000,19000,23000,18000,14000
50736,dataset/14-Postdam-train18-noaug/,frrnB,100,0.8650728,0.8647857,0.8646766,0.8645375,0.8636505,128000,98000,118000,124000,129000
50736,dataset/14-Postdam-train18-noaug/,frrnB,100,0.7644520,0.7638989,0.7638893,0.7637067,0.7627479,128000,118000,98000,124000,129000
